name,cuisine,DietaryRestrictions,latitude,longitude,phone,rating
"Absolute Barbecues - Marathahalli, Bengaluru",Indian Barbecue Asian      ,Vegetarian Friendly Vegan Options Halal Gluten Free Options,12.949864,77.69931,+91 73373 36712,4.5
Cuppa Redefined - HSR,American Cafe       ,Vegetarian Friendly Vegan Options  ,13.007294,77.570076,+91 91081 64894,5
Bharjari Oota,Indian        ,Vegetarian Friendly Vegan Options  ,12.94486,77.57205,+91 98801 41967,4
The Big Barbeque,Italian Chinese Indian Mediterranean Barbecue Asian   ,Vegetarian Friendly   ,12.948556,77.69852,+91 98214 58233,4.5
Savoury Restaurant,Indian Asian Middle Eastern Arabic     ,Vegetarian Friendly Halal  ,12.999533,77.61585,+91 94494 42222,4
"Rajdhani Thali Restaurant, Bannerghatta Road, Bangalore",Indian        ,Vegetarian Friendly Vegan Options  ,12.85898,77.56951,+91 80670 80088,4
The Black Rabbit,Bar European Pub      ,Vegetarian Friendly Vegan Options  ,12.89501,77.58188,+91 80 4241 5575,4
Blr Brewing Co. - Electronic City,Italian Indian Brew Pub Bar Barbecue Asian Pub  ,Vegan Options   ,12.840307,77.65356,+91 63669 60335,4.5
Chinita Real Mexican Food,Mexican        ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.980944,77.637215,+91 96865 51896,4.5
Bheema's,Indian        ,Vegetarian Friendly Vegan Options  ,12.975288,77.60364,+91 80 4112 2535,4
Iron Hill Bengaluru,Brew Pub Pub Dining bars      ,   ,12.952731,77.69819,,4.5
Cafe Noir,French Cafe European      ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.971997,77.59595,+91 80 4098 2050,4
Melange,Indian Asian       ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.950342,77.69829,+91 80670 76909,4.5
The Merak Brewhouse,        ,   ,12.97118,77.59769,+91 88846 75454,5
Social Whitefield,Bar Asian Pub      ,   ,12.997407,77.696335,+91 80 4962 6661,3.5
Food Street / Thindi Bheedi,Indian Fast Food Healthy      ,Vegetarian Friendly Vegan Options  ,12.951469,77.57745,+91 74111 22233,4
Ebony Restaurant,Indian Asian       ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.975222,77.60513,+91 80 4178 3344,4
Vanamo,Cafe International Mediterranean European Healthy    ,   ,12.969271,77.64158,090082 66669,5
The Lantern,Chinese Asian Cantonese Szechuan Shanghai Hong Kong   ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.968014,77.60145,+91 80 4914 8000,4.5
Arbor Brewing Company - Brewpub & Eatery,American Bar Pub Gastropub     ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.970209,77.610825,80-67921222-0,4
Bistro Claytopia,American Cafe       ,Vegetarian Friendly   ,12.925585,77.63349,+91 95387 06203,4
Wabi Sabi,Chinese Japanese Sushi Asian Shanghai    ,Vegetarian Friendly Vegan Options  ,12.973068,77.61802,+91 80 2558 5858,5
7rivers Brewing Co,Italian Chinese Indian Brew Pub Bar Contemporary   ,Vegetarian Friendly   ,12.97326,77.61967,+91 80666 04333,5
"Oia, Hennur Main Road, Airport road",Italian Indian Pub Gastropub     ,   ,13.073504,77.651085,+91 96060 31145,3.5
Mamagoto,Chinese Asian Thai Szechuan Singaporean Shanghai Hong Kong  ,Vegetarian Friendly Vegan Options  ,12.970122,77.63923,+91 80 4093 7237,4
Kapoor's Cafe,Indian Asian       ,Vegetarian Friendly Vegan Options  ,12.956111,77.72001,+91 97392 67702,4
Rajdhani Thali,Indian        ,Vegetarian Friendly Vegan Options  ,13.011042,77.55502,+91 80 2268 2092,4
Eden Park Bar And Restaurant,Indian        ,Vegetarian Friendly Vegan Options  ,12.983494,77.59871,+91 80 2286 1100,4
Shao,Chinese Asian Thai Cantonese Szechuan Shanghai Hong Kong  ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.950286,77.69859,+91 80670 76909,4.5
The Grill House,American Steakhouse Bar International Barbecue Pub   ,Vegetarian Friendly   ,12.975105,77.62,+91 80 4097 7011,4
Eshanya,Indian Asian       ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.923056,77.59321,+91 80 2653 1155,4
Toscano,Italian Pizza European      ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.971995,77.59605,+91 80 4173 8800,4
1947 Restaurant,Indian Asian       ,Vegetarian Friendly Vegan Options  ,12.922704,77.556435,+91 97399 89446,4
China Pearl,Chinese Asian Cantonese Szechuan Shanghai Hong Kong   ,Vegetarian Friendly   ,12.936072,77.6214,+91 80 4110 5060,4
Yauatcha,Chinese Asian Cantonese Shanghai Hong Kong    ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.973019,77.62044,+91 97314 96901,4.5
Sattvam,Indian Asian       ,Vegetarian Friendly Vegan Options  ,12.906231,77.58687,+91 80 2659 5000,4
Udupi Sri Krishna Bhavan,Indian        ,Vegetarian Friendly Vegan Options  ,12.946071,77.5704,+91 80 2667 6565,4
Mynt,Italian Indian International Mediterranean Asian    ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.98679,77.737434,+91 80673 43058,4
Zaitoon,Indian Barbecue Middle Eastern      ,Vegetarian Friendly Halal  ,12.959722,77.64699,+91 80 4148 2777,4
Zen,Chinese Japanese Sushi Asian Thai Cantonese Szechuan Shanghai Hong Kong,Vegetarian Friendly Vegan Options Halal Gluten Free Options,12.961097,77.64892,+91 80 3057 1520,4.5
1522 - The Pub,Indian Bar Pub      ,Vegetarian Friendly Vegan Options  ,13.032792,77.569305,+91 80 4965 2895,4
Europa 360,Steakhouse        ,   ,12.950527,77.6984,+91 80670 76909,4.5
Herbs & Spices,Indian Diner       ,Vegetarian Friendly Vegan Options  ,12.968172,77.75077,+91 80 2845 2803,4
Sarjapur Social,Indian Bar International Asian Pub    ,   ,12.909862,77.68558,+91 91520 17988,4
JW Kitchen,Indian International Asian      ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.972428,77.5947,+91 88844 94037,4.5
Nagarjuna Restaurant,Indian Asian       ,Vegetarian Friendly Vegan Options  ,12.91565,77.59999,+91 80 4280 0900,4
Edo - Japanese Restaurant and Bar,Seafood Sushi Asian      ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.967054,77.596115,+91 80 2211 9898,4.5
9th Mile Dhaba,Indian        ,Vegetarian Friendly Vegan Options  ,13.086517,77.5912,+91 80 2856 0668,4
1947,Indian Asian       ,Vegetarian Friendly Vegan Options  ,13.00573,77.569084,+91 80 4131 4321,3.5
Dum Pukht,Indian        ,Vegetarian Friendly Vegan Options Halal Gluten Free Options,12.993986,77.586426,+91 80 6140 2610,5
Big Pitcher,Brew Pub Bar International Barbecue European    ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.96015,77.64693,+91 95909 05000,4
The White Room,Cafe European British      ,Vegetarian Friendly Vegan Options  ,12.975217,77.60323,+91 80 4965 3525,4
The London Curry House,Chinese Indian       ,Vegetarian Friendly Vegan Options  ,12.985436,77.5792,+91 77097 55188,4
Taiki,Japanese Sushi Asian Thai Korean    ,Vegetarian Friendly Vegan Options  ,12.976917,77.640755,+91 80 4370 3820,4.5
The Punjabi Rasoi,Indian Asian       ,Vegetarian Friendly Vegan Options  ,12.90836,77.63803,+91 80 2572 0999,4
Gramin,Indian Asian       ,Vegetarian Friendly Vegan Options  ,12.934721,77.61324,+91 80 4110 4104,4
URU Brewpark,Indian Brew Pub Bar Asian     ,Vegetarian Friendly Vegan Options  ,12.88998,77.59776,+91 63663 85623,3.5
Sattvam,Indian Asian       ,Vegetarian Friendly Vegan Options Gluten Free Options ,13.005726,77.58063,+91 80 2360 8000,4
Mainland China,Chinese Asian Cantonese Szechuan Shanghai Hong Kong   ,Vegetarian Friendly Vegan Options  ,12.975238,77.60349,+91 80 2559 7722,4
Jalpaan Restaurant,Indian International Asian      ,Vegetarian Friendly Vegan Options  ,12.925232,77.57712,+91 80 2676 1992,4
Church Street Social,Indian Bar International      ,Vegetarian Friendly Vegan Options  ,12.975693,77.60273,+91 80 4051 5253,4
Nagarjuna,Indian Asian       ,Vegetarian Friendly Vegan Options Halal ,12.973171,77.60925,+91 80 4280 0900,4
Phobidden Fruit,Vietnamese        ,Vegetarian Friendly Vegan Options  ,12.970047,77.63961,+91 80 4125 5175,4
Bene,Italian Pizza Mediterranean European     ,Vegetarian Friendly Vegan Options Gluten Free Options ,13.012473,77.55547,+91 80 4252 0166,4.5
Rajdhani,Indian Asian       ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.97116,77.59769,+91 80 2266 7345,4
Millers 46,American Steakhouse       ,Vegetarian Friendly   ,12.991574,77.59416,+91 80 4113 1746,4
Kamat Lokaruchi,Indian Asian       ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.700336,77.25161,+91 90085 55933,4
The Druid Garden,Indian Brew Pub Bar International     ,Vegetarian Friendly Vegan Options Gluten Free Options ,13.063616,77.59127,+91 80 4677 7777,4.5
Dakshin,Indian        ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.994166,77.58559,+91 80 6140 1223,5
Caraway Kitchen,American Indian Seafood European Asian    ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.975461,77.620766,+91 80 2214 4444,5
The Hebbal Cafe,Indian Cafe Asian      ,Vegetarian Friendly Vegan Options  ,13.04204,77.61334,+91 80 6122 6777,4.5
Feast,Indian Bar International Asian     ,Vegetarian Friendly Vegan Options Gluten Free Options ,13.012422,77.55477,+91 80 4252 0133,4.5
Kappa Chakka Kandhari,Indian Asian       ,Vegetarian Friendly Vegan Options  ,12.940622,77.62348,+(91)6364671010,4.5
Caprese,Italian European       ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.992222,77.588394,+91 80 4512 6460,5
Citrus at the Leela Palace Bangalore,Indian International       ,Vegetarian Friendly Vegan Options Halal Gluten Free Options,12.960232,77.64854,+91 80 3757 1340,4.5
M Cafe,Indian International Asian      ,Vegetarian Friendly Vegan Options Halal Gluten Free Options,12.979564,77.72826,+91 80 4943 5000,4.5
Yataii,Japanese Sushi Asian      ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.991961,77.588104,+91 80 4512 6450,5
The Creek,Indian Bar International Grill     ,Vegetarian Friendly Vegan Options Halal Gluten Free Options,12.987164,77.73316,+91 8071 117 272,5
Sultans of Spice,Indian Asian Afghan      ,Vegetarian Friendly Vegan Options Halal ,12.933427,77.61513,+91 80 4343 1800,4
Tamarind,Indian        ,Vegetarian Friendly Vegan Options Gluten Free Options ,13.197349,77.711105,+91 80660 03300,5
Mahesh Lunch Home,Indian Seafood Asian      ,Vegetarian Friendly   ,12.96575,77.641785,+91 80 4131 1102,3.5
Kesariya,Indian Asian       ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.906417,77.58967,+91 80 2659 0800,4
The Permit Room,Indian Bar Pub      ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.9703,77.61039,+91 90191 13388,4.5
Machan,        ,Vegetarian Friendly   ,12.984181,77.5845,+91 80666 05660,5
Le Cirque Signature,Italian French European      ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.960796,77.648476,+91 80 3057 1540,5
Mangalore Pearl,Indian Seafood Asian      ,Vegetarian Friendly   ,12.993555,77.61831,+91 80 4370 8770,4
Rajdhani Thali,Indian Asian       ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.963801,77.641624,+91 80 4757 1910,4
Ironhill Brewery,Indian Bar Pub      ,Vegetarian Friendly Vegan Options  ,13.041738,77.54668,+91 96060 44623,4
Shri Sagar (C.T.R),Indian Healthy       ,Vegetarian Friendly Vegan Options  ,12.998065,77.56961,+91 80 2331 7531,4.5
Chianti Indiranagar,Italian Pizza European Wine Bar     ,Vegetarian Friendly Vegan Options  ,12.970125,77.64032,+91 80 4126 5000,4.5
The Kabab Studio,Indian Barbecue Asian      ,Vegetarian Friendly Halal  ,12.985362,77.57953,+91 80 4129 1300,4
Hoot,Indian Brew Pub Bar Asian Pub Fusion   ,Vegetarian Friendly   ,12.914151,77.678604,+91 80 3047 4545,4
Shivaji Military Hotel,Indian Asian       ,Halal   ,12.917907,77.57396,+91 98451 49217,4
The Only Place,American Steakhouse European      ,Vegetarian Friendly   ,12.973319,77.60353,+91 99860 11112,4
Memories Of China,Chinese Asian Cantonese Szechuan Shanghai Hong Kong   ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.973274,77.61973,+91 80666 04444,4.5
One Atria Cafe,Indian International       ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.979885,77.5863,+91 80 2220 5205,5
Hakuna Matata,Indian Bar Asian      ,Vegetarian Friendly Vegan Options  ,12.894083,77.586624,+91 90086 82926,4
Koshy's Bar & Restaurant,Indian Bar International      ,Vegetarian Friendly   ,12.975746,77.601494,+91 80 4149 6575,4
Ssaffron,Indian        ,Vegetarian Friendly Vegan Options Halal Gluten Free Options,12.991831,77.588005,+91 80 6916 6100,5
Spice Terrace,Indian Asian       ,Vegetarian Friendly Vegan Options Halal Gluten Free Options,12.972126,77.595024,+91 88846 75454,5
High Ultra Lounge,Bar Pub       ,Vegetarian Friendly Vegan Options Gluten Free Options ,13.012285,77.55617,+91 80-9686943311,4
The Persian Terrace,Lebanese Mediterranean Middle Eastern Persian     ,Vegetarian Friendly Vegan Options Halal Gluten Free Options,13.012322,77.555275,+91 80 4252 1000,4.5
Subz,Indian Asian       ,Vegetarian Friendly Vegan Options  ,12.93274,77.58712,+91 80 2244 3006,4
The Rogue Elephant,Mediterranean        ,Vegetarian Friendly Vegan Options  ,12.941575,77.5772,+91 98456 64681,4.5
Lotus Pavilion,Bar International Healthy      ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.966944,77.59611,+91 80 2211 9898,5
Truffles,American Cafe Fast Food      ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.933545,77.61432,+91 80 4146 6565,4.5
"Barbeque Nation - Indiranagar, Bangalore",Indian Barbecue Asian      ,Vegetarian Friendly Vegan Options Halal Gluten Free Options,12.962763,77.64131,+91 80 6902 8722,4.5
13th Floor Lounge Bar,Indian Bar Asian Thai     ,Vegetarian Friendly Vegan Options  ,12.975408,77.605125,+91 80 4178 3333,4
Imli Cafe and restaurant,Chinese Indian Asian      ,Vegetarian Friendly Vegan Options  ,12.979832,77.63963,+91 80 4094 9464,4
Communiti,Bar Pub       ,Vegetarian Friendly Gluten Free Options  ,12.972427,77.608246,+91 93421 58585,4.5
Champaca Cafe,African Cafe European Asian Contemporary Ethiopian   ,   ,12.98926,77.59912,+91 93536 08989,4.5
Maiyas Restaurants Pivate Limited,Indian Asian       ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.92872,77.58136,+91 80 4341 4400,4
Echo Lounge Bar,Indian Bar Pizza International Wine Bar    ,   ,12.936511,77.6933,+91 97391 63630,5
Gufha,Indian        ,Vegetarian Friendly Vegan Options  ,12.92742,77.58047,+91 99809 09053,4
Bombay Brasserie,Indian Bar Grill Pub Dining bars    ,Vegetarian Friendly Vegan Options  ,12.970281,77.64583,+91 80 4147 1004,4
Vidyarthi Bhavan,Indian Asian Healthy      ,Vegetarian Friendly Vegan Options  ,12.945134,77.57142,+91 80 2667 7588,4
MTR - Mavalli Tiffin Rooms,Indian        ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.830622,77.513275,+91 80 2223 0471,4
Cubbon Pavilion,International European Healthy      ,Vegetarian Friendly Vegan Options Halal Gluten Free Options,12.967024,77.59581,+91 80 2211 9898,5
Shang Palace,Chinese Asian Cantonese Szechuan Shanghai Hong Kong   ,Vegetarian Friendly Vegan Options Halal Gluten Free Options,12.991676,77.588264,+91 80 4512 6440,4.5
The Raj Pavilion,Indian International Asian Healthy     ,Vegetarian Friendly Vegan Options Halal Gluten Free Options,12.994106,77.58553,+91 80 6140 1224,5
Byg Brewski Brewing Company,Brew Pub        ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.913129,77.683205,+91 70224 17971,4.5
Long Boat Brewing Co,American Indian Barbecue Asian Beer restaurants    ,   ,12.951855,77.70041,+91 80 4736 0054,4.5
The Black Pearl,Indian Barbecue Asian      ,Vegetarian Friendly Vegan Options Halal Gluten Free Options,12.93928,77.69478,+91 80 2552 0808,4
Shiro Bengaluru,Japanese Sushi Asian Shanghai     ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.97166,77.59598,+91 98332 52772,4.5
Cinnamon,Cafe Deli       ,Vegetarian Friendly Vegan Options  ,12.98422,77.57657,+91 80 4163 4220,5
Lush,American Indian International Asian Afghan    ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.984373,77.57647,+91 95139 44520,5
Kebabs & Kurries,Indian        ,Vegetarian Friendly Vegan Options Halal Gluten Free Options,12.967345,77.59569,+91 80 2211 9898,5
Tiamo,Italian Bar Pizza Mediterranean     ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.975491,77.62057,+91 80 2214 4444,5
Byg Brewski Brewing Company,Mexican American Indian Brew Pub Bar International Asian Pub ,Vegetarian Friendly Vegan Options Gluten Free Options ,13.07083,77.65186,+91 97402 25600,5
Loya,Indian        ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.984524,77.58458,+91 80666 05660,5
Dyu Art Cafe,Cafe        ,Vegetarian Friendly Vegan Options  ,12.937332,77.61756,+91 98956 74244,4
Nook,Indian Asian       ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.937097,77.69514,+91 88844 52271,5
Time Traveller,Indian International Asian      ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.824636,77.68114,+91 80 4040 0400,5
Little Italy,Italian Pizza       ,Vegetarian Friendly Vegan Options  ,12.966362,77.641556,+91 80 2520 7171,4
Hotel Nalapaka,Indian        ,Vegetarian Friendly Vegan Options  ,12.998421,77.55229,+91 99801 46601,4
Buff Buffet Buff,Indian International Asian      ,Vegetarian Friendly Vegan Options  ,12.933363,77.61518,+91 80 4343 1888,4
Airlines Hotel Restaurant,Indian        ,Vegetarian Friendly Vegan Options  ,12.972922,77.59982,+91 80 2227 3783,3.5
Skyye Lounge,American Bar Contemporary Pub     ,Vegetarian Friendly   ,12.971442,77.596504,+91 77608 88899,4
A2B - Adyar Ananda Bhavan,Indian Fast Food Asian      ,Vegetarian Friendly Vegan Options  ,12.954451,77.59311,+91 73388 15533,3.5
Library Bar,Bar Wine Bar       ,Vegetarian Friendly   ,12.961325,77.648544,+91 80 2521 1234,4.5
1947,Indian Asian       ,Vegetarian Friendly   ,12.927526,77.586266,+91 90191 37294,4
Hae Kum Gang,Korean        ,Vegetarian Friendly   ,12.967877,77.607346,+91 98802 16262,4
Kari Theory,Indian Street Food       ,Vegetarian Friendly   ,12.976218,77.61949,+91 80 2558 8550,5
Highland Nectar,Bar Pub Gastropub      ,   ,12.966944,77.59583,+91 80 2211 9898,5
Village,        ,   ,12.916479,77.59223,+91 80 4210 0524,4
Limelight,Indian International       ,Vegetarian Friendly Vegan Options  ,12.957147,77.64398,+91 99029 54007,4.5
The Fat Chef,European        ,Vegetarian Friendly Vegan Options  ,12.957647,77.74087,+91 97390 08585,4
Green Theory,Italian International       ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.968166,77.60272,+91 88614 35956,4
Soi & Sake,Chinese Japanese Sushi Asian     ,Vegetarian Friendly Vegan Options Gluten Free Options ,13.197151,77.71078,+91 80660 03300,4.5
Sanman,Indian        ,Vegetarian Friendly Vegan Options  ,12.98918,77.57383,+91 80 2356 2731,4.5
Dice N Dine,Pizza Cafe       ,Vegetarian Friendly   ,12.9326,77.6142,+91 80 4130 2255,4
Inchara Multi Cuisine Family Garden Bar and Restaurant,Chinese Indian International Asian     ,Vegetarian Friendly   ,12.902308,77.583916,+91 80 2244 9961,3.5
MoMo Cafe,Indian Asian       ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.92798,77.68245,+91 8071 203 040,4.5
Murphy's Brewhouse,Irish Brew Pub Bar International Pub    ,Vegetarian Friendly   ,12.95361,77.63942,+91 80 4047 7777,4
